Date,Price,Open,High,Low,Volume,Chg%
03-03-2023,82.244,82.359,82.4,82.217,3170,-0.13
02-03-2023,82.35,82.425,82.628,82.355,6230,-0.1
01-03-2023,82.43,82.588,82.634,82.365,7330,-0.25
28-02-2023,82.64,82.69,82.761,82.554,6970,0
27-02-2023,82.642,82.871,82.951,82.627,5930,-0.31
24-02-2023,82.897,82.643,83.026,82.628,6000,0.37
23-02-2023,82.59,82.799,82.835,82.562,5680,-0.29
22-02-2023,82.83,82.844,82.937,82.776,6090,-0.02
21-02-2023,82.844,82.691,82.892,82.68,4790,0.18
20-02-2023,82.693,82.72,82.763,82.604,6990,-0.07
17-02-2023,82.75,82.703,82.872,82.703,6220,0.05
16-02-2023,82.71,82.719,82.845,82.59,6260,-0.05
15-02-2023,82.75,82.842,82.972,82.765,6210,-0.19
14-02-2023,82.91,82.597,83.047,82.565,7060,0.39
13-02-2023,82.592,82.582,82.788,82.577,6400,0.1
10-02-2023,82.51,82.535,82.644,82.33,7770,0
09-02-2023,82.511,82.656,82.679,82.402,6840,-0.17
08-02-2023,82.65,82.734,82.761,82.472,6580,-0.25
07-02-2023,82.86,82.755,82.906,82.618,7690,0.15
06-02-2023,82.74,82.388,82.85,82.316,4460,0.65
03-02-2023,82.206,82.044,82.326,81.745,4860,0.2
02-02-2023,82.039,81.698,82.272,81.685,2990,0.38
01-02-2023,81.73,81.765,82.041,81.676,2950,-0.01
31-01-2023,81.739,81.599,82.079,81.55,2930,0.27
30-01-2023,81.52,81.548,81.725,81.461,6590,0.01
27-01-2023,81.51,81.509,81.679,81.473,6550,0.11
26-01-2023,81.418,81.531,81.578,81.355,3240,-0.09
25-01-2023,81.491,81.602,81.78,81.477,7310,-0.13
24-01-2023,81.594,81.488,81.77,81.41,6220,0.14
23-01-2023,81.478,80.933,81.509,80.874,5760,0.62
20-01-2023,80.979,81.281,81.31,80.973,6860,-0.32
19-01-2023,81.24,81.44,81.455,81.207,6890,-0.25
18-01-2023,81.44,81.675,81.829,81.163,7460,-0.23
17-01-2023,81.63,81.71,81.889,81.547,6770,0
16-01-2023,81.628,81.227,81.749,81.197,6340,0.43
13-01-2023,81.28,81.115,81.522,81.115,6850,0.22
12-01-2023,81.1,81.657,81.754,81.11,6440,-0.66
11-01-2023,81.637,81.625,81.83,81.496,6690,0.04
10-01-2023,81.602,82.185,82.317,81.604,6040,-0.69
09-01-2023,82.17,82.234,82.454,82.095,4820,-0.12
06-01-2023,82.27,82.604,82.785,82.275,6780,-0.36
05-01-2023,82.568,82.74,82.808,82.426,6470,-0.09
04-01-2023,82.641,82.779,82.919,82.667,6750,-0.16
03-01-2023,82.774,82.698,83.038,82.654,6260,0.04
02-01-2023,82.745,82.67,82.8,82.56,2490,0.03
30-12-2022,82.717,82.787,82.829,82.539,6350,-0.05
